School Name,Rank in America,School District,School State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Sen James H Donovan Middle School,nan,Utica City School District,NY,7-8,4.0,1,C+,693,12:1,2019-03-19 01:01:35.287040
Gramercy Arts High School,nan,New York City Geographic District No. 2,NY,8-12,3.0,154,C+,528,15:1,2019-03-19 01:01:35.287046
UFT Charter School,nan,Brooklyn,NY,K-12,3.5,23,C+,345,14:1,2019-03-19 01:01:35.287052
PS 38 - Roberto Clemente,nan,New York City Geographic District No. 4,NY,"PK, K-5",nan,nan,C+,250,10:1,2019-03-19 01:01:35.287058
Howard A Hanlon Elementary School,nan,Odessa-Montour Central School District,NY,3-6,nan,nan,C+,217,14:1,2019-03-19 01:01:35.287064
PS 221 - Tossaint L&aposOuverture,nan,New York City Geographic District No. 17,NY,"PK, K-5",nan,nan,C+,398,14:1,2019-03-19 01:01:35.287070
PS 123,nan,New York City Geographic District No. 27,NY,"PK, K-5",nan,nan,C+,699,14:1,2019-03-19 01:01:35.287076
The Brooklyn Charter School,nan,Brooklyn,NY,K-5,nan,nan,C+,245,7:1,2019-03-19 01:01:35.287082
Eugenio Maria de Hostos Microsociety School,nan,Yonkers City School District,NY,"PK, K-8",nan,nan,C+,589,20:1,2019-03-19 01:01:35.287087
Tioga Middle School,nan,Tioga Central School District,NY,5-8,nan,nan,C+,297,21:1,2019-03-19 01:01:35.287094
Hartford Central Middle/High School,nan,Hartford Central School District,NY,6-12,3.5,7,C+,235,11:1,2019-03-19 01:01:35.287101
PS 182,nan,New York City Geographic District No. 8,NY,"PK, K-5",3.0,13,C+,"1,018",16:1,2019-03-19 01:01:35.287108
Gloversville High School,nan,Gloversville City School District,NY,9-12,3.0,47,C+,804,13:1,2019-03-19 01:01:35.287115
North Rose-Wolcott Middle School,nan,North Rose-Wolcott Central School District,NY,5-8,nan,nan,C+,360,10:1,2019-03-19 01:01:35.287122
Chemung Elementary School,nan,Waverly Central School District,NY,nan,nan,nan,C+,117,24:1,2019-03-19 01:01:35.287129
Robert J Kaiser Middle School,nan,Monticello Central School District,NY,6-8,nan,nan,C+,619,9:1,2019-03-19 01:01:35.287135
Charter School for Applied Technologies,nan,Buffalo,NY,K-12,4.0,65,C+,"2,039",15:1,2019-03-19 01:01:35.287141
Stamford Central School,nan,Stamford Central School District,NY,"PK, K-12",4.0,18,C+,329,10:1,2019-03-19 01:01:35.287146
Port Chester Middle School,nan,Port Chester-Rye Union Free School District,NY,6-8,nan,nan,C+,"1,079",14:1,2019-03-19 01:01:35.287153
Saugerties Junior High School,nan,Saugerties Central School District,NY,7-8,4.0,1,C+,372,15:1,2019-03-19 01:01:35.287159
Family Life Academy Charter School I,nan,Bronx,NY,K-8,3.5,2,C+,464,19:1,2019-03-19 01:01:35.287165
Deruyter Elementary School,nan,Deruyter Central School District,NY,"PK, K-5",nan,nan,C+,202,13:1,2019-03-19 01:01:35.287170
Renaissance School of the Arts,nan,New York City Geographic District No. 4,NY,6-8,nan,nan,C+,164,9:1,2019-03-19 01:01:35.287189
Brighter Choice Community School,nan,New York City Geographic District No. 16,NY,"PK, K-5",nan,nan,C+,166,17:1,2019-03-19 01:01:35.287195
Gowanda Middle School,nan,Gowanda Central School District,NY,5-8,nan,nan,C+,373,11:1,2019-03-19 01:01:35.287201
The Leadership Academy for Young Men,nan,Rochester City School District,NY,7-12,4.5,3,C+,553,13:1,2019-03-19 01:01:35.287207
Northeast Elementary School,nan,Brentwood Union Free School District,NY,1-5,nan,nan,C+,"1,096",21:1,2019-03-19 01:01:35.287213
PS 279 - Herman Schreiber,nan,New York City Geographic District No. 18,NY,"PK, K-5",nan,nan,C+,475,13:1,2019-03-19 01:01:35.287219
Watson Williams Elementary School,nan,Utica City School District,NY,K-6,nan,nan,C+,673,19:1,2019-03-19 01:01:35.287225
Calvin Coolidge Elementary School,nan,Binghamton City School District,NY,"PK, K-5",nan,nan,C+,317,11:1,2019-03-19 01:01:35.287231
Catherine & Count Basie Middle School 72,nan,New York City Geographic District No. 28,NY,6-8,4.5,2,C+,598,13:1,2019-03-19 01:01:35.287237
PS 137 - John L Bernstein,nan,New York City Geographic District No. 1,NY,"PK, K-5",nan,nan,C+,153,9:1,2019-03-19 01:01:35.287244
79th Street School,nan,Niagara Falls City School District,NY,"PK, K-6",nan,nan,C+,464,19:1,2019-03-19 01:01:35.287250
Bronx Theatre High School,nan,New York City Geographic District No. 10,NY,9-12,3.5,33,C+,413,14:1,2019-03-19 01:01:35.287256
Paige School,nan,Schenectady City School District,NY,K-8,4.0,1,C+,460,15:1,2019-03-19 01:01:35.287262
IS 77,nan,New York City Geographic District No. 24,NY,5-8,4.5,2,C+,"1,004",15:1,2019-03-19 01:01:35.287269
Norwich High School,nan,Norwich City School District,NY,9-12,3.5,96,C+,560,13:1,2019-03-19 01:01:35.287275
Greenlawn Elementary School,nan,Bainbridge-Guilford Central School District,NY,2-6,nan,nan,C+,284,12:1,2019-03-19 01:01:35.287282
South Middle School,nan,Newburgh City School District,NY,6-8,4.5,4,C+,603,11:1,2019-03-19 01:01:35.287288
Cascades High School,nan,New York City Geographic District No. 1,NY,9-12,4.0,15,C+,220,19:1,2019-03-19 01:01:35.287294
Choir Academy of Harlem,nan,New York City Geographic District No. 5,NY,nan,3.0,15,C+,34,7:1,2019-03-19 01:01:35.287300
Bronx Haven High School,nan,New York City Geographic District No. 7,NY,9-12,4.5,2,C+,175,11:1,2019-03-19 01:01:35.287305
PS 87 - Bronx,nan,New York City Geographic District No. 11,NY,K-5,nan,nan,C+,632,16:1,2019-03-19 01:01:35.287312
Afton Elementary School,nan,Afton Central School District,NY,"PK, K-6",nan,nan,C+,289,9:1,2019-03-19 01:01:35.287318
PS 44 - Marcus Garvey,nan,New York City Geographic District No. 13,NY,"PK, K-5",nan,nan,C+,218,12:1,2019-03-19 01:01:35.287324
Gouverneur Junior/Senior High School,nan,Gouverneur Central School District,NY,6-12,3.5,45,C+,810,12:1,2019-03-19 01:01:35.287330
Long Lake Central School,nan,Long Lake Central School District,NY,"PK, K-12",nan,nan,C+,60,4:1,2019-03-19 01:01:35.287336
Knickerbacker Middle School,nan,Lansingburgh Central School District,NY,6-8,nan,nan,C+,484,11:1,2019-03-19 01:01:35.287343
Saint Joseph&aposs Elementary School,nan,Malone Central School District,NY,"PK, K-5",nan,nan,C+,236,14:1,2019-03-19 01:01:35.287349
Petrova Elementary School,nan,Saranac Lake Central School District,NY,K-5,nan,nan,C+,339,12:1,2019-03-19 01:01:35.287355
Laurel Park Elementary School,nan,Brentwood Union Free School District,NY,1-5,nan,nan,C+,644,17:1,2019-03-19 01:01:35.287361
Bronx High School for Medical Science,nan,New York City Geographic District No. 9,NY,6-12,3.5,106,C+,425,14:1,2019-03-19 01:01:35.287366
William H Barkley Microsociety Magnet School,nan,Amsterdam City School District,NY,"PK, K-5",nan,nan,C+,356,14:1,2019-03-19 01:01:35.287372
Harry M Fisher Elementary School,nan,Central Valley Central School District at Ilion-Mohawk,NY,"PK, K-4",nan,nan,C+,480,13:1,2019-03-19 01:01:35.287379
Pennington School,nan,Mount Vernon City School District,NY,"PK, K-8",2.5,6,C+,417,15:1,2019-03-19 01:01:35.287385
Hostos-Lincoln Academy of Science,nan,New York City Geographic District No. 7,NY,6-12,3.5,53,C+,518,15:1,2019-03-19 01:01:35.287391
Meadow Hill Global Explorations Magnet School,nan,Newburgh City School District,NY,K-8,2.0,9,C+,"1,059",12:1,2019-03-19 01:01:35.287397
PS 145 - The Bloomingdale School,nan,New York City Geographic District No. 3,NY,"PK, K-5",nan,nan,C+,368,11:1,2019-03-19 01:01:35.287403
High School for Civil Rights,nan,New York City Geographic District No. 19,NY,9-12,4.0,13,C+,293,16:1,2019-03-19 01:01:35.287409
Monhagen Middle School,nan,Middletown City School District,NY,6-8,4.0,4,C+,799,14:1,2019-03-19 01:01:35.287416
Poland Elementary School,nan,Poland Central School District,NY,"PK, K-6",nan,nan,C+,298,13:1,2019-03-19 01:01:35.287422
Harold T Wiley School,nan,Watertown City School District,NY,5-6,3.5,5,C+,530,12:1,2019-03-19 01:01:35.287428
Richfield Springs Elementary School,nan,Richfield Springs Central School District,NY,"PK, K-6",3.0,9,C+,266,13:1,2019-03-19 01:01:35.287435
PS 20 - George J Werdan III,nan,New York City Geographic District No. 10,NY,"PK, K-8",nan,nan,C+,"1,096",15:1,2019-03-19 01:01:35.287441
Innovation Diploma Plus,nan,New York City Geographic District No. 3,NY,9-12,3.0,9,C+,173,14:1,2019-03-19 01:01:35.287447
Rockaway Collegiate High School,nan,New York City Geographic District No. 27,NY,8-12,3.5,12,C+,384,14:1,2019-03-19 01:01:35.287464
William Appleby Elementary School,nan,Marathon Central School District,NY,"PK, K-6",nan,nan,C+,419,12:1,2019-03-19 01:01:35.287470
Dryden Middle School,nan,Dryden Central School District,NY,6-8,nan,nan,C+,372,11:1,2019-03-19 01:01:35.287479
Cahill School,nan,Saugerties Central School District,NY,K-6,nan,nan,C+,370,15:1,2019-03-19 01:01:35.287490
Mott Hall V School,nan,New York City Geographic District No. 12,NY,6-12,4.0,34,C+,695,14:1,2019-03-19 01:01:35.287502
Crotona Academy High School,nan,New York City Geographic District No. 7,NY,9-12,4.0,4,C+,91,12:1,2019-03-19 01:01:35.287514
Waterloo Middle School,nan,Waterloo Central School District,NY,6-8,2.0,1,C+,335,11:1,2019-03-19 01:01:35.287527
Red Jacket Middle School,nan,Manchester-Shortsville Central School District,NY,6-8,nan,nan,C+,210,15:1,2019-03-19 01:01:35.287539
Edward R Andrews Elementary School,nan,Morrisville-Eaton Central School District,NY,"PK, K-5",1.0,1,C+,310,12:1,2019-03-19 01:01:35.287552
Dunkirk Middle School,nan,Dunkirk City School District,NY,3-8,nan,nan,C+,466,10:1,2019-03-19 01:01:35.287564
High School for Medical Professions,nan,New York City Geographic District No. 18,NY,9-12,3.5,76,C+,414,15:1,2019-03-19 01:01:35.287576
Elementary School No 3,nan,Dunkirk City School District,NY,K-5,nan,nan,C+,251,13:1,2019-03-19 01:01:35.287589
John V Lindsay Wildcat Academy Charter School,nan,New York,NY,9-12,4.0,13,C+,473,20:1,2019-03-19 01:01:35.287600
Clarke Middle School,nan,South Jefferson Central School District,NY,6-8,nan,nan,C+,404,16:1,2019-03-19 01:01:35.287612
Joseph C Wilson Magnet High School,nan,Rochester City School District,NY,9-12,3.5,98,C+,766,13:1,2019-03-19 01:01:35.287624
International School for Liberal Arts,nan,New York City Geographic District No. 10,NY,6-12,4.5,17,C+,539,14:1,2019-03-19 01:01:35.287636
Explore Charter School,nan,Brooklyn,NY,K-8,3.0,1,C+,521,11:1,2019-03-19 01:01:35.287650
Pulaski Street Elementary School,nan,Riverhead Central School District,NY,5-6,nan,nan,C+,784,16:1,2019-03-19 01:01:35.287660
Herbert H Lehman High School,nan,New York City Geographic District No. 8,NY,8-12,3.5,253,C+,"1,039",12:1,2019-03-19 01:01:35.287672
Sidney Middle School,nan,Sidney Central School District,NY,7-8,nan,nan,C+,141,74:1,2019-03-19 01:01:35.287685
Queens Collegiate - A College Board School,nan,New York City Geographic District No. 28,NY,6-12,3.5,145,C+,650,16:1,2019-03-19 01:01:35.287697
Wheelerville School,nan,Caroga Lake,NY,"PK, K-8",nan,nan,C+,142,10:1,2019-03-19 01:01:35.287711
South Seneca Middle/High School,nan,South Seneca Central School District,NY,6-12,3.0,25,C+,404,9:1,2019-03-19 01:01:35.287722
Inwood Early College for Health and Information Technologies,nan,New York City Geographic District No. 6,NY,9-10,4.0,7,C+,195,13:1,2019-03-19 01:01:35.287734
PS 253,nan,New York City Geographic District No. 27,NY,"PK, K-5",nan,nan,C+,571,14:1,2019-03-19 01:01:35.287766
Edwards-Knox Junior/Senior High School,nan,Edwards-Knox Central School District,NY,7-12,3.5,29,C+,269,14:1,2019-03-19 01:01:35.287779
Fallsburg Junior/Senior High School,nan,Fallsburg Central School District,NY,7-12,3.5,54,C+,586,10:1,2019-03-19 01:01:35.287793
John F Kennedy School,nan,Kingston City School District,NY,"PK, K-4",nan,nan,C+,354,12:1,2019-03-19 01:01:35.287806
School 21,nan,Yonkers City School District,NY,"PK, K-6",nan,nan,C+,494,23:1,2019-03-19 01:01:35.287818
Dalton-Nunda Elementary School,nan,Keshequa Central School District,NY,"PK, K-3",nan,nan,C+,229,12:1,2019-03-19 01:01:35.287829
Andes Central School,nan,Andes Central School District,NY,"PK, K-12",3.0,15,C+,105,7:1,2019-03-19 01:01:35.287842
Gotham Professional Arts Academy,nan,New York City Geographic District No. 16,NY,9-12,3.5,25,C+,196,13:1,2019-03-19 01:01:35.287854
Corinth Elementary School,nan,Corinth Central School District,NY,K-5,nan,nan,C+,568,15:1,2019-03-19 01:01:35.287867
Brooklyn Studio Secondary School,nan,New York City Geographic District No. 21,NY,6-12,3.5,50,C+,914,17:1,2019-03-19 01:01:35.287880
IS 254,nan,New York City Geographic District No. 10,NY,6-8,nan,nan,C+,464,13:1,2019-03-19 01:01:35.287892
Bushwick School for Social Justice,nan,New York City Geographic District No. 32,NY,9-12,3.5,21,C+,375,11:1,2019-03-19 01:01:35.287910
PS 214 - Michael Friedsam,nan,New York City Geographic District No. 19,NY,"PK, K-5",5.0,1,C+,954,16:1,2019-03-19 01:01:35.287931
Bushwick Ascend Charter School,nan,Brooklyn,NY,K-6,nan,nan,C+,745,14:1,2019-03-19 01:01:35.287944
High School for Youth & Community Development,nan,New York City Geographic District No. 17,NY,9-12,3.5,40,C+,380,19:1,2019-03-19 01:01:35.287956
Nightengale Elementary School,nan,Massena Central School District,NY,"PK, K-6",nan,nan,C+,487,15:1,2019-03-19 01:01:35.287974
Balmville School,nan,Newburgh City School District,NY,"PK, K-5",nan,nan,C+,483,15:1,2019-03-19 01:01:35.287988
Brooklyn Academy High School,nan,New York City Geographic District No. 13,NY,10-12,4.5,12,C+,149,13:1,2019-03-19 01:01:35.288000
JHS 226 - Virgil I Grisson,nan,New York City Geographic District No. 27,NY,6-8,3.5,5,C+,926,18:1,2019-03-19 01:01:35.288014
Beekmantown Middle School,nan,Beekmantown Central School District,NY,6-8,nan,nan,C+,406,13:1,2019-03-19 01:01:35.288027
Prospect Elementary School,nan,Salamanca City School District,NY,"PK, K-3",nan,nan,C+,475,12:1,2019-03-19 01:01:35.288039
PS 108 Assemblyman Angelo Del Toro Educational Complex,nan,New York City Geographic District No. 4,NY,"PK, K-8",nan,nan,C+,592,14:1,2019-03-19 01:01:35.288052
Equity Project Charter School,nan,New York,NY,5-8,4.0,6,C+,472,15:1,2019-03-19 01:01:35.288066
MS 35 - Stephen Decatur,nan,New York City Geographic District No. 16,NY,6-8,nan,nan,C+,168,11:1,2019-03-19 01:01:35.288078
PS 302 - Emerson School of Hospitality,nan,Buffalo City School District,NY,9-12,3.5,16,C+,549,10:1,2019-03-19 01:01:35.288091
Johnstown Senior High School,nan,Johnstown City School District,NY,7-12,3.5,88,C+,581,12:1,2019-03-19 01:01:35.288104
PS 250 - George H Lindsey,nan,New York City Geographic District No. 14,NY,"PK, K-5",nan,nan,C+,636,16:1,2019-03-19 01:01:35.288117
PS 81,nan,Buffalo City School District,NY,"PK, K-8",nan,nan,C+,833,16:1,2019-03-19 01:01:35.288130
Roxboro Road Elementary School,nan,North Syracuse Central School District,NY,K-4,nan,nan,C+,469,14:1,2019-03-19 01:01:35.288141
PS 287 - Bailey K Ashford,nan,New York City Geographic District No. 13,NY,"PK, K-5",nan,nan,C+,195,16:1,2019-03-19 01:01:35.288154
George L Cooke School,nan,Monticello Central School District,NY,K-5,nan,nan,C+,593,14:1,2019-03-19 01:01:35.288166
Woodlawn School,nan,Schenectady City School District,NY,K-6,nan,nan,C+,471,15:1,2019-03-19 01:01:35.288178
John F Hughes Elementary School,nan,Utica City School District,NY,K-6,nan,nan,C+,452,17:1,2019-03-19 01:01:35.288190
Flushing High School,nan,New York City Geographic District No. 25,NY,8-12,3.5,184,C+,"1,869",15:1,2019-03-19 01:01:35.288202
Carroll Hill School,nan,Troy City School District,NY,K-5,nan,nan,C+,435,13:1,2019-03-19 01:01:35.288215
Leadership & Public Service High School,nan,New York City Geographic District No. 2,NY,8-12,3.0,71,C+,673,18:1,2019-03-19 01:01:35.288226
Cairo-Durham Middle School,nan,Cairo-Durham Central School District,NY,6-8,nan,nan,C+,270,12:1,2019-03-19 01:01:35.288240
Goldie Maple Academy,nan,New York City Geographic District No. 27,NY,"PK, K-8",3.0,5,C+,529,14:1,2019-03-19 01:01:35.288252
PS 43 - Jonas Bronck,nan,New York City Geographic District No. 7,NY,"PK, K-5",nan,nan,C+,495,12:1,2019-03-19 01:01:35.288265
PS 129 - John H Finley,nan,New York City Geographic District No. 5,NY,"PK, K-8",nan,nan,C+,488,13:1,2019-03-19 01:01:35.288277
PS 23 - The New Children&aposs School,nan,New York City Geographic District No. 10,NY,"PK, K-5",nan,nan,C+,531,12:1,2019-03-19 01:01:35.288289
Maple Hill Elementary School,nan,Middletown City School District,NY,K-5,nan,nan,C+,"1,147",13:1,2019-03-19 01:01:35.288303
IS 340 - North Star Academy,nan,New York City Geographic District No. 17,NY,6-8,4.0,1,C+,203,15:1,2019-03-19 01:01:35.288315
PS 205 - Fiorello LaGuardia,nan,New York City Geographic District No. 10,NY,K-5,3.5,9,C+,"1,040",16:1,2019-03-19 01:01:35.288328
Watervliet Elementary School,nan,Watervliet City School District,NY,"PK, K-6",nan,nan,C+,676,14:1,2019-03-19 01:01:35.288341
International High School for Health Sciences,nan,New York City Geographic District No. 24,NY,9-11,3.5,7,C+,223,16:1,2019-03-19 01:01:35.288354
EPIC High School North,nan,New York City Geographic District No. 27,NY,9-12,3.5,10,C+,175,19:1,2019-03-19 01:01:35.288369
Gen William Floyd Elementary School,nan,Holland Patent Central School District,NY,"PK, K-2",nan,nan,C+,315,16:1,2019-03-19 01:01:35.288383
PS 226,nan,New York City Geographic District No. 10,NY,"PK, K-5",nan,nan,C+,503,16:1,2019-03-19 01:01:35.288396
Bronx Leadership Academy II High School,nan,New York City Geographic District No. 7,NY,8-12,4.0,71,C+,487,14:1,2019-03-19 01:01:35.288409
PS 223 - Lyndon B Johnson,nan,New York City Geographic District No. 27,NY,"PK, K-5",nan,nan,C+,603,14:1,2019-03-19 01:01:35.288422
Knickerbocker Elementary School,nan,Watertown City School District,NY,K-4,5.0,1,C+,386,15:1,2019-03-19 01:01:35.288435
Preparatory Academy For Writers,nan,New York City Geographic District No. 29,NY,6-12,3.5,72,C+,576,17:1,2019-03-19 01:01:35.288447
PS 196 - Ten Eyck,nan,New York City Geographic District No. 14,NY,"PK, K-5",nan,nan,C+,343,12:1,2019-03-19 01:01:35.288473
Sheepshead Bay High School,nan,New York City Geographic District No. 22,NY,9-12,3.0,102,C+,222,9:1,2019-03-19 01:01:35.288480
PS 78,nan,New York City Geographic District No. 31,NY,"PK, K-5",nan,nan,C+,839,15:1,2019-03-19 01:01:35.288487
PS 15 - Jackie Robinson,nan,New York City Geographic District No. 29,NY,"PK, K-5",nan,nan,C+,452,16:1,2019-03-19 01:01:35.288493
PS 94 - Kings College School,nan,New York City Geographic District No. 10,NY,K-5,nan,nan,C+,"1,208",13:1,2019-03-19 01:01:35.288499
PS 146 - Edward Collins,nan,New York City Geographic District No. 8,NY,"PK, K-5",nan,nan,C+,399,13:1,2019-03-19 01:01:35.288505
Sherburne-Earlville Middle School,nan,Sherburne-Earlville Central School District,NY,6-8,nan,nan,C+,294,11:1,2019-03-19 01:01:35.288511
PS 47 The American Sign Language & English Secondary School,nan,New York City Geographic District No. 2,NY,9-12,3.0,21,C+,182,11:1,2019-03-19 01:01:35.288517
PS 208 - Elsa Ebeling,nan,New York City Geographic District No. 18,NY,"PK, K-5",4.0,1,C+,442,15:1,2019-03-19 01:01:35.288524
High School for Excellence & Innovation,nan,New York City Geographic District No. 6,NY,9-12,3.5,16,C+,204,10:1,2019-03-19 01:01:35.288530
School for Excellence,nan,New York City Geographic District No. 9,NY,9-12,2.5,26,C+,386,14:1,2019-03-19 01:01:35.288537
Richmond Hill High School,nan,New York City Geographic District No. 27,NY,9-12,3.5,200,C+,"1,943",15:1,2019-03-19 01:01:35.288543
Health Opportunities High School,nan,New York City Geographic District No. 7,NY,8-12,3.5,94,C+,561,18:1,2019-03-19 01:01:35.288549
Andover School,nan,Andover Central School District,NY,"PK, K-12",3.5,7,C+,320,14:1,2019-03-19 01:01:35.288570
North Middle School,nan,Brentwood Union Free School District,NY,6-8,nan,nan,C+,"1,088",17:1,2019-03-19 01:01:35.288577
PS 31 - William T Davis,nan,New York City Geographic District No. 31,NY,"PK, K-5",nan,nan,C+,465,13:1,2019-03-19 01:01:35.288582
High School for Innovation in Advertising & Media (iAM),nan,New York City Geographic District No. 18,NY,9-12,3.0,25,C+,295,14:1,2019-03-19 01:01:35.288588
Eagle Academy for Young Men II,nan,New York City Geographic District No. 23,NY,5-12,4.5,11,C+,587,16:1,2019-03-19 01:01:35.288595
PS 299 - Thomas Warren Field School,nan,New York City Geographic District No. 32,NY,"PK, K-5",nan,nan,C+,313,12:1,2019-03-19 01:01:35.288602
"Archimedes Academy for Math, Science & Technology Applications",nan,New York City Geographic District No. 8,NY,5-12,3.5,18,C+,677,14:1,2019-03-19 01:01:35.288609
PS 190 - Sheffield,nan,New York City Geographic District No. 19,NY,"PK, K-5",nan,nan,C+,178,11:1,2019-03-19 01:01:35.288616
Harold O Brumsted Elementary School,nan,Holland Central School District,NY,"PK, K-6",nan,nan,C+,473,13:1,2019-03-19 01:01:35.288623
Hamilton Heights School,nan,New York City Geographic District No. 6,NY,K-5,nan,nan,C+,218,13:1,2019-03-19 01:01:35.288630
PS 20 - Port Richmond,nan,New York City Geographic District No. 31,NY,K-5,nan,nan,C+,490,12:1,2019-03-19 01:01:35.288636
It Takes A Village Academy,nan,New York City Geographic District No. 18,NY,9-12,3.5,32,C+,596,15:1,2019-03-19 01:01:35.288642
Academy of Hospitality & Tourism,nan,New York City Geographic District No. 17,NY,8-12,3.5,29,C+,218,13:1,2019-03-19 01:01:35.288648
